date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:43	46988/46988	---M--	200	added ('OK')	image/webp	etag:%228be783644d63c9198586db45af70c61a%22	https://dreamgf-ai.com/images/model-brunette.webp	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/model-brunette.webp	(from https://dreamgf-ai.com/fr/)
09:10:43	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.35.delayed	(from https://dreamgf-ai.com/fr/)
09:10:43	89306/89306	---M--	200	added ('OK')	image/webp	etag:%2259d98a3c2a767a975ec8891e7af14b80%22	https://dreamgf-ai.com/images/model-asian.webp	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/model-asian.webp	(from https://dreamgf-ai.com/fr/)
09:10:43	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.37.delayed	(from https://dreamgf-ai.com/fr/)
09:10:43	71034/71034	---M--	200	added ('OK')	image/webp	etag:%224a1524a6914e706106b1fb3c05d6c659%22	https://dreamgf-ai.com/images/model-latina.webp	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/model-latina.webp	(from https://dreamgf-ai.com/fr/)
09:10:43	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.39.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.3b.delayed	(from https://dreamgf-ai.com/fr/)
09:10:44	52176/52176	---M--	200	added ('OK')	image/webp	etag:%222a8ddaccbeebfcd2d0dac4d456488558%22	https://dreamgf-ai.com/images/model-ebony.webp	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/model-ebony.webp	(from https://dreamgf-ai.com/fr/)
09:10:44	74932/74932	---M--	200	added ('OK')	image/webp	etag:%2261be5ebec34e6be5c270e71efc3bf940%22	https://dreamgf-ai.com/images/model-gamer.webp	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/model-gamer.webp	(from https://dreamgf-ai.com/fr/)
09:10:44	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.3d.delayed	(from https://dreamgf-ai.com/fr/)
